phase,prefill_or_decode,wall_ms,cuda_kernel_time_ms,kernel_count,dominant_kernels,communication_present,communication_type,memcpy_present,resource_class,evidence_type,confidence,notes
DEEPEP_LAYOUT,prefill,0,23.288389,6144,"void deep_ep::layout::get_dispatch_layout<(int)256, (int)4, (int)8>(const long *, int *, int *, int *, bool *, int, int, int, int) (6144)",YES,DeepEP/NCCL kernel evidence,NO,COMMUNICATION_MIXED,FULL_SERVING_OBSERVED,MEDIUM,Kernel-name mapping; no full-serving NVTX range.
DEEPEP_DISPATCH,prefill,2551.266901,24.788819,390,"void deep_ep::intranode::notify_dispatch<(int)4>(const int *, int *, const int *, int *, int, int, int, const bool *, int *, int *, int, int, void **, int **, int) (192); void deep_ep::intranode::dispatch<(int)4, (int)768, (int)8192>(int4 *, float *, int *, long *, float *, int *, int *, const int4 *, const float *, const long *, const float *, const bool *, const int *, int, int, int, int, int, int, int, int, void **, int, int, int) (192); std::enable_if<T2>(int)0&&vllm::_typeConvert<T1>::exists, void>::type vllm::fused_add_rms_norm_kernel<c10::BFloat16, (int)8>(T1 *, long, T1 *, const T1 *, float, int, int) (3)",YES,DeepEP/NCCL kernel evidence,NO,COMMUNICATION_MIXED,FULL_SERVING_OBSERVED,HIGH,Shortest enclosing NVTX range + CUDA kernel overlap.
EXPERT_GEMM,prefill,3534.88616,30.875216,1354,"fused_moe_kernel (384); void vllm::moe::moe_align_block_size_kernel<long>(const T1 *, int *, int *, int *, int *, int, int, int, int, unsigned long, int *, int, int, bool) (192); void vllm::moe::count_and_sort_expert_tokens_kernel<long>(const T1 *, int *, int *, int *, unsigned long, int, int, int, bool) (192)",YES,UNKNOWN,NO,COMPUTE_HEAVY,FULL_SERVING_OBSERVED,HIGH,Shortest enclosing NVTX range + CUDA kernel overlap.
DEEPEP_COMBINE,prefill,599.902645,58.429429999999996,586,"void deep_ep::intranode::cached_notify_combine<(int)4>(void **, int *, int, int, int, int **, int) (195); void deep_ep::intranode::combine<__nv_bfloat16, (int)4, (int)768, (int)4096>(T1 *, float *, const T1 *, const float *, const T1 *, const T1 *, const int *, const int *, const int *, int *, int, int, int, int, void **, int, int, int) (192); void cutlass::device_kernel<flash::FlashAttnFwdCombine<cute::tuple<cute::C<(int)8>, cute::C<(int)128>>, (int)5, (int)256, (int)1, (bool)0, (bool)1, cutlass::bfloat16_t, float, cutlass::arch::Sm90>>(T1::Params) (108)",YES,DeepEP/NCCL kernel evidence,NO,COMMUNICATION_MIXED,FULL_SERVING_OBSERVED,HIGH,Shortest enclosing NVTX range + CUDA kernel overlap.
LLM_DECODE,decode,15788.743524,38.294808,9857,"std::enable_if<T2>(int)0&&vllm::_typeConvert<T1>::exists, void>::type vllm::fused_add_rms_norm_kernel<c10::BFloat16, (int)8>(T1 *, long, T1 *, const T1 *, float, int, int) (9383); void vllm::rms_norm_kernel<c10::BFloat16, (int)8, (int)2>(T1 *, const T1 *, long, long, long, long, long, const T1 *, float, int, int) (111); ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>) (95)",YES,UNKNOWN,NO,COMMUNICATION_MIXED,FULL_SERVING_OBSERVED,HIGH,Shortest enclosing NVTX range + CUDA kernel overlap.
DECODE_ATTN,decode,4019.782034,268.963385,60782,"void vllm::rms_norm_kernel<c10::BFloat16, (int)8, (int)3>(T1 *, const T1 *, long, long, long, long, long, const T1 *, float, int, int) (11696); void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3) (11675); nvjet_tst_64x8_64x16_4x1_v_bz_TNT (11671)",YES,UNKNOWN,NO,COMMUNICATION_MIXED,FULL_SERVING_OBSERVED,HIGH,Shortest enclosing NVTX range + CUDA kernel overlap.
DECODE_DISPATCH,decode,2480.700834,1036.83504,13842,"void deep_ep::intranode::notify_dispatch<(int)4>(const int *, int *, const int *, int *, int, int, int, const bool *, int *, int *, int, int, void **, int **, int) (5952); void deep_ep::intranode::dispatch<(int)4, (int)768, (int)8192>(int4 *, float *, int *, long *, float *, int *, int *, const int4 *, const float *, const long *, const float *, const bool *, const int *, int, int, int, int, int, int, int, int, void **, int, int, int) (5952); void at::native::vectorized_elementwise_kernel<(int)8, at::native::FillFunctor<c10::BFloat16>, std::array<char *, (unsigned long)1>>(int, T2, T3) (516)",YES,UNKNOWN,NO,COMMUNICATION_MIXED,FULL_SERVING_OBSERVED,HIGH,Shortest enclosing NVTX range + CUDA kernel overlap.
DECODE_EXPERT,decode,3427.064533,232.650223,44260,"fused_moe_kernel (11062); void vllm::moe::moe_align_block_size_kernel<long>(const T1 *, int *, int *, int *, int *, int, int, int, int, unsigned long, int *, int, int, bool) (5531); void vllm::moe::count_and_sort_expert_tokens_kernel<long>(const T1 *, int *, int *, int *, unsigned long, int, int, int, bool) (5531)",YES,UNKNOWN,NO,COMPUTE_HEAVY,FULL_SERVING_OBSERVED,HIGH,Shortest enclosing NVTX range + CUDA kernel overlap.
DECODE_COMBINE,decode,580.150152,800.16071,11901,"void deep_ep::intranode::combine<__nv_bfloat16, (int)4, (int)768, (int)4096>(T1 *, float *, const T1 *, const float *, const T1 *, const T1 *, const int *, const int *, const int *, int *, int, int, int, int, void **, int, int, int) (5952); void deep_ep::intranode::cached_notify_combine<(int)4>(void **, int *, int, int, int, int **, int) (5949)",YES,UNKNOWN,NO,COMMUNICATION_MIXED,FULL_SERVING_OBSERVED,HIGH,Shortest enclosing NVTX range + CUDA kernel overlap.
DEEPEP_COMM_UNKNOWN_PHASE,prefill,0.0,64.172704,494,ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>) (494),YES,NCCL/collective (phase unresolved),NO,COMMUNICATION_MIXED,FULL_SERVING_OBSERVED,MEDIUM,Kernel names observed in replay; exact logical sub-phase unresolved.
BOUNDED_REPLAY_AUXILIARY,prefill,0.0,4.048358,1315,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::CUDAFunctor_add<c10::BFloat16>, std::array<char *, (unsigned long)3>>(int, T2, T3) (160); void at::native::<unnamed>::vectorized_layer_norm_kernel<c10::BFloat16, float, (bool)0>(int, T2, const T1 *, const T1 *, const T1 *, T2 *, T2 *, T1 *) (146); void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_kernel_impl<at::native::OpaqueType<(int)2>>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>)::[lambda(char *, const char *, long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long, T3) (136)",UNKNOWN,UNKNOWN,NO,UNKNOWN,FULL_SERVING_OBSERVED,MEDIUM,Kernel names observed in replay; exact logical sub-phase unresolved.
