layer,rank,token_bucket,vision_request_id,text_request_id,vision_n,text_n,vision_g,text_g,vision_q,text_q,vision_ms,text_ms,relative_n_error,relative_latency_residual,absolute_latency_gap_ms,vision_histogram,text_histogram,vision_is_actual_critical,text_is_actual_critical
0,3,medium,cell,text_14_coffee_rocket,821,852,30,30,33,31,0.4342719912528991,0.4349119961261749,0.036384976525821594,-0.0014715732814372107,-0.0006400048732758123,"[6, 0, 38, 8, 49, 10, 14, 75, 71, 5, 9, 44, 5, 24, 23, 9, 24, 18, 46, 53, 6, 10, 1, 0, 49, 21, 21, 110, 2, 17, 19, 34]","[9, 12, 52, 19, 32, 15, 23, 110, 0, 19, 9, 0, 1, 50, 11, 24, 49, 4, 30, 18, 8, 64, 39, 36, 19, 45, 35, 31, 38, 10, 13, 27]",False,False
0,3,small,coins,text_02_cat,325,329,31,31,31,31,0.428736001253128,0.4139840006828308,0.0121580547112462,0.035634228728562034,0.014752000570297186,"[1, 4, 9, 5, 6, 31, 7, 2, 53, 3, 3, 2, 3, 60, 3, 11, 8, 2, 6, 15, 3, 1, 1, 0, 9, 12, 7, 13, 1, 5, 20, 19]","[6, 8, 21, 3, 13, 6, 7, 9, 3, 5, 14, 2, 0, 12, 10, 3, 23, 4, 17, 9, 9, 11, 10, 10, 17, 12, 16, 1, 23, 9, 25, 11]",True,False
1,0,large,fast_gptq,text_21_fast_gptq,2888,2786,32,32,39,39,0.4879359900951385,0.4839040040969848,0.035318559556786706,0.008332202180632464,0.0040319859981536865,"[4, 103, 170, 121, 48, 195, 69, 44, 138, 12, 71, 93, 74, 73, 83, 49, 65, 173, 13, 67, 241, 93, 36, 55, 128, 123, 26, 173, 61, 84, 4, 199]","[67, 103, 65, 21, 48, 47, 118, 73, 82, 17, 164, 55, 12, 64, 136, 122, 83, 65, 95, 229, 72, 16, 12, 131, 65, 29, 108, 69, 263, 218, 42, 95]",False,False
1,0,medium,coffee_rocket,text_13_motorcycle,857,848,32,32,34,34,0.4331519901752472,0.4309439957141876,0.010501750291715286,0.005123622751490808,0.0022079944610595703,"[23, 37, 12, 42, 27, 11, 37, 13, 42, 70, 46, 54, 21, 15, 24, 5, 13, 24, 22, 11, 50, 14, 5, 22, 56, 20, 22, 5, 37, 5, 5, 67]","[5, 27, 40, 7, 31, 22, 30, 16, 22, 11, 109, 24, 32, 11, 47, 41, 16, 15, 31, 12, 18, 10, 2, 1, 51, 10, 7, 15, 97, 25, 18, 45]",False,False
1,0,small,camera,text_05_coffee,513,508,31,31,31,31,0.4132159948348999,0.4188799858093261,0.009746588693957114,-0.013521751256467152,-0.005663990974426214,"[54, 22, 10, 11, 13, 19, 6, 22, 35, 20, 10, 23, 8, 11, 19, 5, 19, 48, 20, 7, 7, 14, 2, 5, 24, 10, 3, 0, 13, 9, 20, 24]","[3, 24, 19, 10, 12, 12, 17, 8, 8, 8, 43, 14, 6, 9, 12, 24, 11, 6, 17, 13, 11, 24, 0, 7, 24, 9, 6, 14, 61, 27, 8, 41]",False,True
1,1,large,model_card,text_18_tui_main,1910,1886,32,32,33,34,0.4594559967517853,0.4738560020923614,0.012565445026178011,-0.030388990066584243,-0.014400005340576116,"[59, 74, 65, 49, 25, 38, 30, 99, 16, 53, 20, 82, 29, 101, 27, 87, 110, 57, 29, 84, 26, 55, 77, 11, 174, 53, 31, 92, 23, 91, 111, 32]","[86, 93, 90, 28, 35, 66, 59, 58, 39, 22, 42, 37, 75, 100, 43, 100, 39, 97, 94, 13, 168, 31, 32, 6, 41, 71, 8, 41, 25, 43, 38, 166]",False,False
1,1,medium,motorcycle,text_11_logo,696,662,32,32,33,35,0.416480004787445,0.4380800127983093,0.04885057471264368,-0.049306079665426106,-0.021600008010864313,"[30, 36, 38, 28, 28, 27, 26, 27, 25, 5, 19, 32, 16, 9, 7, 20, 3, 29, 15, 8, 19, 29, 72, 24, 17, 12, 11, 44, 28, 7, 4, 1]","[26, 13, 3, 10, 6, 10, 14, 14, 13, 57, 5, 7, 13, 39, 4, 8, 1, 14, 5, 194, 5, 63, 9, 59, 8, 18, 12, 9, 3, 2, 3, 15]",False,False
1,2,large,fast_gptq,text_21_fast_gptq,3120,3172,32,32,44,45,0.5027520060539246,0.5060799717903137,0.01639344262295082,-0.006575968072034422,-0.00332796573638916,"[26, 163, 82, 19, 32, 72, 58, 201, 89, 52, 2, 22, 112, 10, 95, 31, 84, 106, 37, 17, 58, 578, 44, 154, 303, 200, 33, 133, 158, 93, 10, 46]","[12, 105, 68, 28, 113, 1, 143, 769, 56, 59, 7, 20, 35, 51, 167, 304, 65, 20, 75, 48, 14, 103, 48, 87, 130, 87, 216, 74, 64, 62, 129, 12]",False,False
1,2,large,retina,text_22_retina,4227,4428,32,32,50,50,0.5394240021705627,0.5337920188903809,0.04539295392953929,0.010550894507357578,0.005631983280181885,"[277, 25, 239, 111, 41, 480, 28, 1, 163, 34, 619, 3, 218, 153, 126, 91, 163, 62, 138, 38, 117, 82, 99, 81, 14, 65, 6, 82, 65, 229, 80, 297]","[128, 133, 114, 60, 169, 14, 211, 1041, 13, 90, 70, 107, 79, 60, 173, 3, 91, 20, 70, 101, 34, 217, 101, 151, 126, 197, 288, 122, 90, 107, 213, 35]",True,False
1,2,small,cat,text_00_coins,265,270,29,29,29,29,0.4095039963722229,0.4117439985275268,0.018518518518518517,-0.005440278822070432,-0.0022400021553038996,"[42, 0, 2, 7, 22, 1, 9, 1, 20, 3, 17, 6, 4, 6, 1, 5, 3, 28, 10, 4, 0, 14, 11, 2, 5, 0, 4, 3, 3, 5, 10, 17]","[4, 11, 10, 2, 8, 0, 20, 58, 1, 1, 1, 9, 6, 3, 16, 0, 2, 0, 6, 6, 1, 11, 8, 8, 17, 4, 25, 9, 5, 2, 13, 3]",True,True
1,3,large,method,text_23_method,5556,5400,32,32,62,60,0.5630080103874207,0.5680959820747375,0.028077753779697623,-0.008956183194141154,-0.0050879716873168945,"[239, 311, 153, 36, 380, 195, 289, 180, 363, 409, 87, 59, 194, 270, 443, 29, 69, 143, 162, 111, 12, 249, 184, 59, 162, 131, 27, 125, 141, 270, 37, 37]","[417, 173, 215, 206, 46, 642, 16, 144, 262, 245, 136, 153, 116, 209, 181, 99, 19, 156, 252, 134, 94, 111, 127, 195, 99, 21, 260, 69, 99, 140, 80, 284]",False,False
1,3,large,tui_log,text_21_fast_gptq,2722,2696,32,32,40,40,0.477728009223938,0.4896959960460663,0.009551800146950772,-0.024439625642768026,-0.011967986822128296,"[65, 34, 51, 27, 142, 65, 190, 49, 198, 141, 21, 60, 238, 82, 206, 3, 25, 59, 36, 70, 147, 89, 109, 30, 61, 54, 35, 81, 163, 89, 80, 22]","[259, 58, 121, 145, 7, 262, 25, 73, 94, 104, 63, 129, 41, 55, 43, 64, 41, 71, 92, 69, 12, 31, 34, 122, 81, 6, 229, 57, 18, 104, 31, 155]",True,False
1,3,large,tui_main,text_19_tui_log,2836,2972,32,32,40,40,0.4763520061969757,0.4881919920444488,0.04576043068640646,-0.024252724420754324,-0.011839985847473089,"[90, 37, 63, 24, 222, 41, 235, 59, 170, 218, 10, 42, 274, 86, 182, 3, 32, 64, 59, 48, 105, 123, 136, 40, 73, 55, 15, 32, 109, 89, 84, 16]","[176, 168, 105, 101, 31, 251, 17, 75, 96, 72, 88, 68, 109, 38, 71, 80, 45, 76, 151, 76, 45, 31, 20, 143, 27, 84, 273, 34, 31, 108, 38, 244]",True,True
1,3,medium,motorcycle,text_14_coffee_rocket,918,930,32,32,35,36,0.4321919977664947,0.4453119933605194,0.012903225806451613,-0.02946247976618699,-0.013119995594024714,"[22, 5, 17, 10, 73, 46, 38, 18, 22, 4, 3, 40, 36, 2, 90, 73, 31, 29, 9, 35, 54, 8, 15, 31, 44, 11, 3, 34, 52, 22, 31, 10]","[67, 23, 56, 68, 3, 87, 2, 17, 41, 49, 34, 49, 11, 14, 6, 20, 5, 21, 33, 34, 3, 5, 6, 50, 23, 3, 101, 13, 6, 30, 6, 44]",True,True
1,3,small,cat,text_01_clock_motion,293,282,28,28,28,28,0.4017919898033142,0.3998720049858093,0.03754266211604096,0.004801498463422149,0.0019199848175048828,"[6, 0, 0, 2, 20, 9, 6, 4, 3, 0, 3, 2, 18, 2, 12, 21, 17, 1, 16, 2, 42, 1, 4, 23, 2, 13, 0, 10, 14, 8, 22, 10]","[25, 8, 15, 7, 0, 32, 0, 1, 21, 13, 2, 4, 12, 7, 3, 0, 0, 9, 19, 8, 3, 4, 4, 21, 7, 8, 7, 1, 8, 7, 5, 21]",False,False
1,3,small,coffee,text_05_coffee,603,586,31,31,32,33,0.4176639914512634,0.4157440066337585,0.028192371475953566,0.004618190008440326,0.0019199848175049383,"[19, 53, 9, 5, 32, 23, 27, 4, 16, 9, 3, 6, 30, 6, 15, 39, 76, 20, 10, 3, 59, 1, 4, 45, 8, 8, 0, 10, 9, 11, 30, 13]","[61, 9, 13, 17, 0, 74, 6, 7, 29, 20, 16, 17, 7, 19, 7, 12, 3, 10, 29, 15, 15, 2, 5, 35, 8, 4, 74, 7, 7, 17, 10, 31]",False,False
1,3,small,phantom,text_04_color_wheel,421,420,31,31,32,31,0.4194239974021911,0.4069440066814422,0.0023752969121140144,0.030667586979646222,0.012479990720748901,"[18, 23, 3, 8, 11, 42, 27, 7, 9, 7, 5, 1, 10, 20, 16, 77, 31, 2, 10, 0, 6, 12, 4, 20, 12, 5, 1, 13, 2, 4, 8, 7]","[18, 2, 14, 8, 12, 33, 0, 12, 14, 29, 7, 7, 7, 4, 22, 1, 2, 11, 23, 17, 4, 6, 24, 30, 18, 7, 16, 7, 12, 18, 3, 32]",False,False
2,0,medium,histology,text_09_grass,473,492,30,30,30,31,0.4175040125846863,0.4056960046291351,0.03861788617886179,0.02910555642850232,0.011808007955551203,"[2, 29, 55, 13, 7, 9, 2, 3, 3, 2, 23, 52, 8, 2, 16, 5, 38, 41, 12, 0, 13, 19, 10, 8, 0, 7, 17, 7, 30, 11, 9, 20]","[55, 12, 22, 5, 3, 68, 8, 20, 20, 5, 11, 0, 1, 16, 12, 24, 6, 3, 3, 0, 2, 7, 5, 64, 16, 7, 10, 13, 6, 10, 35, 23]",False,True
2,2,large,fast_gptq,text_19_tui_log,3035,2967,32,32,41,42,0.4951040148735046,0.4757120013236999,0.022405271828665568,0.04076418819757577,0.019392013549804688,"[185, 89, 196, 104, 27, 423, 178, 9, 29, 94, 24, 71, 4, 24, 41, 237, 245, 56, 111, 11, 17, 47, 128, 107, 28, 32, 58, 90, 66, 177, 14, 113]","[43, 219, 440, 37, 43, 63, 66, 418, 24, 49, 27, 47, 156, 64, 3, 1, 70, 52, 174, 9, 90, 16, 24, 118, 95, 103, 111, 128, 1, 190, 50, 36]",False,True
2,2,small,cat,text_00_coins,303,309,30,30,30,30,0.4031040072441101,0.3935360014438629,0.019417475728155338,0.02431291105551381,0.009568005800247192,"[1, 3, 17, 5, 14, 34, 4, 24, 1, 4, 26, 19, 11, 4, 3, 18, 21, 1, 4, 14, 8, 0, 0, 1, 9, 3, 4, 3, 3, 10, 11, 23]","[9, 10, 41, 12, 4, 4, 6, 55, 1, 14, 2, 9, 17, 7, 2, 0, 10, 7, 7, 0, 8, 5, 3, 6, 8, 2, 12, 5, 1, 17, 4, 21]",False,False
2,2,small,coffee,text_04_color_wheel,444,441,32,32,32,34,0.4130559861660003,0.4139519929885864,0.006756756756756757,-0.0021645186827516927,-0.0008960068225861151,"[2, 16, 16, 9, 9, 7, 4, 36, 4, 3, 5, 8, 28, 11, 15, 37, 33, 23, 16, 3, 7, 32, 4, 15, 8, 4, 4, 29, 5, 14, 19, 18]","[3, 9, 76, 14, 9, 12, 8, 67, 1, 8, 1, 10, 28, 13, 1, 8, 16, 3, 19, 2, 8, 3, 7, 14, 10, 1, 11, 37, 1, 24, 3, 14]",False,True
2,3,small,moon,text_06_moon,423,432,27,27,27,28,0.4104320108890533,0.4188480079174042,0.020833333333333332,-0.020093200562650182,-0.008415997028350886,"[30, 5, 25, 16, 6, 6, 45, 21, 3, 0, 0, 23, 5, 0, 56, 25, 0, 19, 25, 2, 14, 0, 10, 1, 28, 5, 6, 7, 7, 5, 2, 26]","[29, 4, 3, 11, 8, 0, 0, 10, 4, 0, 0, 38, 1, 3, 3, 79, 27, 1, 5, 19, 18, 14, 5, 32, 4, 21, 11, 13, 0, 1, 34, 34]",False,True
3,0,small,color_wheel,text_02_cat,364,357,28,28,29,28,0.3966400027275085,0.400160014629364,0.019230769230769232,-0.00879651082858901,-0.0035200119018555243,"[8, 4, 16, 31, 7, 6, 8, 4, 30, 33, 0, 5, 11, 2, 2, 15, 16, 5, 10, 0, 1, 2, 13, 4, 2, 0, 0, 83, 17, 18, 2, 9]","[1, 19, 10, 29, 14, 6, 18, 16, 9, 1, 13, 23, 12, 36, 1, 0, 29, 8, 3, 0, 0, 3, 0, 9, 22, 8, 21, 8, 14, 5, 2, 17]",False,False
3,0,small,moon,text_07_camera,570,581,31,31,33,31,0.4098559916019439,0.4084160029888153,0.0189328743545611,0.003525788907855487,0.0014399886131286066,"[2, 19, 54, 15, 6, 6, 10, 9, 93, 34, 1, 3, 3, 5, 1, 19, 18, 18, 5, 21, 3, 0, 17, 31, 13, 29, 1, 66, 10, 32, 1, 25]","[11, 11, 15, 37, 37, 14, 37, 17, 10, 1, 12, 16, 11, 28, 1, 0, 50, 9, 6, 23, 13, 5, 7, 11, 38, 22, 12, 38, 35, 12, 1, 41]",False,False
3,1,large,tui_log,text_21_fast_gptq,2977,2929,31,31,43,43,0.4709759950637817,0.4808639883995056,0.016123614376889486,-0.02056297326118106,-0.009887993335723932,"[132, 44, 55, 83, 237, 104, 9, 8, 50, 77, 73, 112, 653, 22, 27, 105, 50, 454, 33, 46, 0, 4, 2, 10, 70, 113, 64, 131, 28, 25, 10, 146]","[47, 32, 162, 28, 72, 96, 165, 1, 206, 24, 81, 399, 509, 42, 31, 51, 7, 36, 13, 18, 313, 221, 0, 49, 89, 11, 21, 85, 77, 10, 28, 5]",False,False
3,1,small,phantom,text_04_color_wheel,329,331,28,28,28,29,0.4168640077114105,0.4018880128860473,0.006042296072507553,0.037264099314177734,0.014975994825363215,"[7, 5, 4, 11, 49, 36, 3, 12, 4, 0, 0, 46, 7, 5, 3, 2, 6, 8, 12, 14, 0, 11, 0, 4, 23, 2, 22, 4, 1, 3, 8, 17]","[6, 9, 11, 13, 5, 20, 3, 0, 25, 2, 0, 26, 66, 3, 3, 9, 12, 1, 1, 2, 0, 41, 1, 4, 9, 17, 15, 6, 8, 0, 7, 6]",False,False
3,2,large,method,text_22_retina,4775,4748,31,31,56,54,0.5670400261878967,0.5388479828834534,0.005654450261780105,0.052319103346334606,0.02819204330444336,"[21, 553, 46, 129, 14, 147, 113, 43, 127, 68, 76, 27, 22, 181, 72, 586, 15, 223, 105, 0, 59, 55, 133, 47, 290, 43, 390, 56, 295, 134, 77, 628]","[121, 304, 39, 100, 20, 57, 132, 35, 31, 65, 132, 150, 147, 257, 9, 64, 10, 339, 92, 0, 62, 135, 226, 87, 16, 254, 335, 110, 248, 188, 117, 866]",False,True
3,2,large,tui_log,text_20_tui_model_selection,2915,2926,31,31,43,41,0.4754559993743896,0.4839999973773956,0.0037593984962406013,-0.01765288853161684,-0.008543998003005981,"[9, 621, 11, 83, 13, 54, 38, 26, 81, 22, 21, 2, 55, 34, 33, 183, 31, 73, 53, 0, 122, 22, 150, 40, 76, 8, 100, 48, 137, 152, 143, 474]","[78, 220, 16, 51, 11, 17, 154, 25, 7, 58, 48, 118, 61, 291, 6, 42, 2, 23, 113, 0, 104, 71, 33, 40, 5, 237, 309, 53, 217, 116, 64, 336]",True,True
3,2,medium,cell,text_12_cell,679,668,31,31,33,33,0.4348160028457641,0.4302400052547455,0.016200294550810016,0.010635918406307177,0.004575997591018621,"[18, 2, 5, 40, 3, 5, 11, 20, 19, 1, 34, 1, 22, 10, 65, 3, 67, 1, 5, 0, 28, 29, 1, 28, 50, 37, 25, 34, 29, 7, 45, 34]","[5, 65, 4, 4, 1, 1, 15, 5, 0, 8, 11, 12, 10, 47, 7, 33, 1, 60, 21, 10, 20, 11, 34, 10, 6, 43, 74, 13, 34, 28, 23, 52]",False,True
3,2,medium,logo,text_09_grass,565,583,29,29,31,30,0.4184319972991943,0.4035519957542419,0.030874785591766724,0.036872575780827255,0.014880001544952393,"[0, 2, 21, 10, 15, 26, 10, 21, 8, 3, 7, 0, 12, 14, 12, 24, 32, 5, 7, 0, 84, 21, 2, 24, 89, 6, 42, 11, 17, 13, 11, 16]","[17, 48, 2, 4, 1, 2, 23, 2, 5, 5, 11, 12, 26, 44, 0, 6, 0, 25, 19, 0, 11, 16, 23, 8, 7, 40, 67, 16, 56, 30, 15, 42]",True,False
3,2,small,coffee,text_07_camera,576,600,31,31,34,33,0.413536012172699,0.4121919870376587,0.04,0.003260677493270858,0.0013440251350402832,"[9, 0, 84, 20, 2, 13, 13, 2, 11, 3, 6, 4, 28, 8, 2, 16, 16, 12, 11, 2, 77, 37, 6, 10, 65, 11, 8, 9, 21, 4, 9, 57]","[9, 7, 5, 15, 3, 18, 9, 16, 31, 3, 41, 16, 7, 20, 3, 4, 8, 78, 17, 0, 19, 5, 73, 21, 5, 24, 39, 9, 15, 14, 16, 50]",False,False
3,2,small,coins,text_04_color_wheel,343,351,29,29,30,29,0.4108799993991852,0.4033919870853424,0.022792022792022793,0.01856262036325118,0.0074880123138427734,"[1, 1, 1, 4, 2, 8, 8, 12, 7, 4, 4, 1, 2, 5, 14, 1, 1, 24, 6, 0, 59, 15, 4, 31, 33, 3, 6, 1, 15, 0, 0, 70]","[3, 61, 1, 3, 2, 1, 12, 2, 0, 4, 8, 17, 8, 22, 0, 2, 1, 1, 16, 0, 8, 11, 5, 3, 2, 23, 22, 13, 30, 18, 9, 43]",True,False
3,2,small,moon,text_05_coffee,563,578,29,29,29,29,0.412447988986969,0.4029439985752105,0.025951557093425604,0.023586380354004843,0.009503990411758478,"[4, 3, 0, 22, 2, 3, 16, 29, 30, 9, 11, 0, 16, 11, 38, 3, 39, 7, 17, 0, 37, 30, 1, 33, 55, 11, 60, 16, 20, 2, 17, 21]","[13, 49, 1, 18, 12, 18, 12, 17, 0, 6, 20, 19, 22, 34, 0, 4, 1, 33, 19, 0, 15, 38, 39, 15, 5, 32, 38, 4, 20, 9, 29, 36]",False,False
3,2,small,phantom,text_02_cat,316,317,28,28,28,28,0.4138239920139313,0.4057919979095459,0.0031545741324921135,0.01979337726165742,0.008031994104385376,"[0, 0, 4, 32, 2, 6, 2, 3, 11, 12, 0, 1, 4, 21, 16, 15, 15, 4, 6, 0, 19, 17, 2, 10, 31, 3, 41, 5, 17, 1, 1, 15]","[12, 29, 0, 1, 1, 0, 11, 2, 3, 5, 2, 15, 9, 25, 1, 4, 0, 18, 14, 0, 6, 4, 11, 1, 4, 24, 37, 11, 21, 2, 13, 31]",False,False
3,3,large,fast_gptq,text_21_fast_gptq,3264,3186,32,32,45,43,0.5148159861564636,0.492000013589859,0.02389705882352941,0.04637392669997853,0.022815972566604614,"[5, 128, 13, 46, 78, 68, 497, 152, 204, 9, 19, 35, 69, 93, 135, 75, 22, 132, 56, 50, 8, 79, 24, 282, 24, 40, 438, 66, 190, 8, 116, 103]","[311, 159, 1, 102, 982, 22, 16, 220, 96, 22, 5, 95, 52, 14, 29, 25, 15, 2, 66, 128, 59, 47, 81, 93, 65, 125, 120, 12, 55, 22, 82, 63]",False,False
3,3,medium,logo,text_11_logo,550,533,31,31,31,33,0.4094080030918121,0.4237760007381439,0.03090909090909091,-0.033904698759026686,-0.014367997646331843,"[0, 9, 2, 17, 17, 6, 18, 53, 3, 18, 6, 13, 4, 4, 14, 16, 15, 56, 22, 13, 2, 21, 4, 12, 13, 11, 44, 45, 5, 2, 40, 45]","[38, 34, 1, 12, 169, 8, 5, 42, 36, 1, 1, 10, 11, 3, 3, 1, 3, 0, 8, 19, 16, 8, 8, 25, 16, 6, 9, 7, 11, 2, 15, 5]",False,False
4,1,medium,histology,text_11_logo,593,579,26,26,30,29,0.4128319919109344,0.3999040126800537,0.023608768971332208,0.032327705701777454,0.012927979230880682,"[3, 63, 22, 7, 74, 1, 12, 2, 3, 0, 0, 25, 1, 1, 1, 13, 27, 85, 0, 0, 13, 1, 97, 0, 1, 3, 2, 25, 4, 0, 82, 25]","[62, 108, 7, 0, 19, 137, 24, 0, 26, 1, 0, 1, 0, 17, 1, 11, 2, 7, 12, 10, 11, 17, 38, 0, 8, 1, 14, 0, 18, 2, 9, 16]",False,False
4,3,medium,brick,text_12_cell,532,517,32,32,32,34,0.4070720076560974,0.4288640022277832,0.02819548872180451,-0.050813298524671646,-0.02179199457168579,"[11, 3, 11, 3, 5, 36, 2, 21, 15, 3, 4, 2, 36, 57, 4, 20, 1, 24, 2, 39, 7, 19, 1, 3, 1, 6, 26, 52, 40, 43, 21, 14]","[14, 37, 3, 28, 6, 22, 1, 67, 69, 4, 43, 1, 20, 7, 2, 6, 1, 3, 5, 29, 20, 5, 29, 8, 5, 3, 2, 11, 2, 49, 8, 7]",False,True
4,3,medium,grass,text_14_coffee_rocket,708,700,30,30,32,33,0.4103359878063202,0.4183039963245392,0.011299435028248588,-0.01904836814429345,-0.007968008518218994,"[27, 0, 32, 1, 11, 5, 9, 18, 12, 17, 7, 3, 17, 49, 5, 19, 4, 28, 5, 11, 29, 109, 0, 27, 19, 4, 84, 37, 25, 52, 9, 33]","[13, 77, 0, 8, 14, 30, 14, 90, 122, 55, 33, 2, 11, 1, 2, 7, 3, 2, 5, 37, 51, 4, 13, 11, 16, 4, 0, 23, 7, 28, 12, 5]",False,False
