pair_id,task,condition,intervention,horizon,expected_answer,parsed_answer,baseline_correct,correct,answer_consistent,tokens_exact,logit_cosine,logit_kl,logit_max_abs
identity_different_04,identity,full_h0,full,0,NO,NO,True,True,True,True,0.9999999999999998,0.0,0.0
brightness_second_00,brightness,full_h0,full,0,SECOND,FIRST,False,False,True,True,1.0000000000000002,0.0,0.0
brightness_second_01,brightness,full_h0,full,0,SECOND,FIRST,False,False,True,True,1.0,0.0,0.0
brightness_second_02,brightness,full_h0,full,0,SECOND,SECOND,True,True,True,True,1.0,0.0,0.0
brightness_second_03,brightness,full_h0,full,0,SECOND,FIRST,False,False,True,True,1.0,0.0,0.0
brightness_second_04,brightness,full_h0,full,0,SECOND,FIRST,False,False,True,True,1.0000000000000002,0.0,0.0
brightness_second_05,brightness,full_h0,full,0,SECOND,FIRST,False,False,True,True,1.0,0.0,0.0
identity_same_00,identity,visual_h4,visual,4,YES,YES,True,True,True,True,0.9966840038083101,0.0024430453612656875,0.875
identity_same_02,identity,visual_h4,visual,4,YES,YES,True,True,True,True,0.9990772588011282,0.005661322129645402,0.625
identity_same_04,identity,visual_h4,visual,4,YES,YES,True,True,True,True,0.9978819642639439,0.021148707388817578,0.7435302734375
identity_different_00,identity,visual_h4,visual,4,NO,NO,True,True,True,True,0.9951810794174882,6.302235692381154e-07,1.46875
identity_different_02,identity,visual_h4,visual,4,NO,NO,True,True,True,True,0.9955700863274611,6.007522846259245e-08,1.2265625
identity_different_04,identity,visual_h4,visual,4,NO,NO,True,True,True,True,0.9948889964163186,3.4457895348789563e-07,1.3125
brightness_second_00,brightness,visual_h4,visual,4,SECOND,FIRST,False,False,True,True,0.9976849569295194,0.0036169547832089234,0.875
brightness_second_01,brightness,visual_h4,visual,4,SECOND,FIRST,False,False,True,True,0.999342409312392,0.006721205702567665,0.75
brightness_second_02,brightness,visual_h4,visual,4,SECOND,SECOND,True,True,True,True,0.9987287389313811,0.026994262468193995,0.8125
brightness_second_03,brightness,visual_h4,visual,4,SECOND,FIRST,False,False,True,True,0.9991192090983548,0.0013646811152931721,0.5
brightness_second_04,brightness,visual_h4,visual,4,SECOND,FIRST,False,False,True,True,0.998708422748019,0.0033219072690097284,0.875
brightness_second_05,brightness,visual_h4,visual,4,SECOND,FIRST,False,False,True,True,0.9965982409374359,1.028759144756473e-05,1.0625
identity_same_00,identity,full_h4,full,4,YES,YES,True,True,True,True,0.9989004037336953,0.0031932822974132828,0.984375
identity_same_02,identity,full_h4,full,4,YES,YES,True,True,True,True,0.9983221135132107,1.695075587673103e-05,0.625
identity_same_04,identity,full_h4,full,4,YES,YES,True,True,True,True,0.9974811378401768,0.007686095946973689,0.90625
identity_different_00,identity,full_h4,full,4,NO,NO,True,True,True,True,0.9947638464627606,4.964197373335394e-07,1.625
identity_different_02,identity,full_h4,full,4,NO,NO,True,True,True,True,0.9911507740601644,6.603998710452328e-08,1.8125
identity_different_04,identity,full_h4,full,4,NO,NO,True,True,True,True,0.9958280852791639,5.637979544000459e-09,1.21875
brightness_second_00,brightness,full_h4,full,4,SECOND,FIRST,False,False,True,True,0.9963480986143773,0.0010667313631782544,1.5
brightness_second_01,brightness,full_h4,full,4,SECOND,FIRST,False,False,True,True,0.999051524259565,0.0006566178545416405,1.5
brightness_second_02,brightness,full_h4,full,4,SECOND,SECOND,True,True,True,True,0.9959038497830857,0.067322777133426,0.9375
brightness_second_03,brightness,full_h4,full,4,SECOND,FIRST,False,False,True,True,0.9989891303520958,0.0015326580507601488,0.875
brightness_second_04,brightness,full_h4,full,4,SECOND,FIRST,False,False,True,True,0.9986322994200907,0.002784195460674134,0.8125
brightness_second_05,brightness,full_h4,full,4,SECOND,FIRST,False,False,True,True,0.9940739790982753,1.8385009365546578e-05,1.296875
identity_same_00,identity,visual_h8,visual,8,YES,YES,True,True,True,True,0.9985606259141323,0.002634499393529586,0.78125
identity_same_02,identity,visual_h8,visual,8,YES,YES,True,True,True,True,0.9974699146776017,0.13015860824366587,0.875
identity_same_04,identity,visual_h8,visual,8,YES,YES,True,True,True,True,0.9996907200058617,0.005493151838722943,0.4375
identity_different_00,identity,visual_h8,visual,8,NO,NO,True,True,True,True,0.9954663950258075,1.8914637291963637e-07,1.50048828125
identity_different_02,identity,visual_h8,visual,8,NO,NO,True,True,True,True,0.9992183426087913,5.164437450058614e-08,0.5625
identity_different_04,identity,visual_h8,visual,8,NO,NO,True,True,True,True,0.9958816468371987,8.092271193680469e-08,1.21875
brightness_second_00,brightness,visual_h8,visual,8,SECOND,FIRST,False,False,True,True,0.9982629967868726,0.0008565548289809575,1.3125
brightness_second_01,brightness,visual_h8,visual,8,SECOND,FIRST,False,False,True,True,0.9988557679491668,0.0026167214634988493,0.796875
brightness_second_02,brightness,visual_h8,visual,8,SECOND,SECOND,True,True,True,True,0.9987247646059498,0.02699402747867579,0.8125
brightness_second_03,brightness,visual_h8,visual,8,SECOND,FIRST,False,False,True,True,0.9994641771831405,0.003562671565369168,0.4375
brightness_second_04,brightness,visual_h8,visual,8,SECOND,FIRST,False,False,True,True,0.9992972813651617,0.0007620311160438124,0.625
brightness_second_05,brightness,visual_h8,visual,8,SECOND,FIRST,False,False,True,True,0.9969198507486305,0.00016774650839652448,1.25
identity_same_00,identity,full_h8,full,8,YES,YES,True,True,True,True,0.997346936294962,0.01330625920213242,1.125
identity_same_02,identity,full_h8,full,8,YES,NO,True,False,False,False,0.997272001889941,0.1628663173076876,0.9375
identity_same_04,identity,full_h8,full,8,YES,YES,True,True,True,True,0.999338525568321,0.0023655355404883995,0.5
identity_different_00,identity,full_h8,full,8,NO,NO,True,True,True,True,0.9950942470508302,6.397876394327929e-07,1.536865234375
identity_different_02,identity,full_h8,full,8,NO,NO,True,True,True,True,0.9901857899251694,1.2709821915324465e-06,1.853515625
identity_different_04,identity,full_h8,full,8,NO,NO,True,True,True,True,0.9949656529962035,2.462032643053593e-07,1.375
brightness_second_00,brightness,full_h8,full,8,SECOND,FIRST,False,False,True,True,0.9984785087291111,0.0067449314826857135,0.890625
brightness_second_01,brightness,full_h8,full,8,SECOND,FIRST,False,False,True,True,0.9985952741175094,0.014290180000341365,0.984375
brightness_second_02,brightness,full_h8,full,8,SECOND,SECOND,True,True,True,True,0.9982349172531312,0.0023772414078867266,0.84375
brightness_second_03,brightness,full_h8,full,8,SECOND,FIRST,False,False,True,True,0.99589557183518,0.02283801797528224,1.296875
brightness_second_04,brightness,full_h8,full,8,SECOND,FIRST,False,False,True,True,0.9980726540222107,0.01575730474994825,1.25
brightness_second_05,brightness,full_h8,full,8,SECOND,FIRST,False,False,True,True,0.9906558307128664,0.0005667607086774443,2.0625
identity_same_00,identity,visual_h12,visual,12,YES,YES,True,True,True,True,0.9952919157242214,0.045951281211170994,1.875
identity_same_02,identity,visual_h12,visual,12,YES,YES,True,True,True,True,0.9972131975132603,0.13014307892305843,1.125
identity_same_04,identity,visual_h12,visual,12,YES,YES,True,True,True,True,0.9963402751012141,0.17519771873265394,1.42578125
identity_different_00,identity,visual_h12,visual,12,NO,NO,True,True,True,True,0.9961515772341359,4.195304586327406e-08,1.216796875
identity_different_02,identity,visual_h12,visual,12,NO,NO,True,True,True,True,0.993483914118486,6.157263920913023e-08,1.53125
identity_different_04,identity,visual_h12,visual,12,NO,NO,True,True,True,True,0.9958194772406722,1.414306969671869e-07,1.25
brightness_second_00,brightness,visual_h12,visual,12,SECOND,FIRST,False,False,True,True,0.9966031269946436,0.00822577721240695,1.8125
brightness_second_01,brightness,visual_h12,visual,12,SECOND,FIRST,False,False,True,True,0.998607280912745,0.029718526829955183,1.25
brightness_second_02,brightness,visual_h12,visual,12,SECOND,SECOND,True,True,True,True,0.9981545829414004,0.011220047105395425,0.75
brightness_second_03,brightness,visual_h12,visual,12,SECOND,FIRST,False,False,True,True,0.9992303190132238,0.0028956881993191953,0.75
brightness_second_04,brightness,visual_h12,visual,12,SECOND,FIRST,False,False,True,True,0.9992706914905856,0.00019617336843959438,0.58203125
brightness_second_05,brightness,visual_h12,visual,12,SECOND,FIRST,False,False,True,True,0.9981080330045563,0.0001023113072881551,1.0
identity_same_00,identity,full_h12,full,12,YES,YES,True,True,True,True,0.9958933267696183,0.026046896244679235,1.375
identity_same_02,identity,full_h12,full,12,YES,NO,True,False,False,False,0.9964262437464432,0.2842636951185805,1.0625
identity_same_04,identity,full_h12,full,12,YES,YES,True,True,True,True,0.9967846128875414,0.28299377810795195,1.55078125
identity_different_00,identity,full_h12,full,12,NO,NO,True,True,True,True,0.9963544071992512,3.691508614831685e-08,1.4375
identity_different_02,identity,full_h12,full,12,NO,NO,True,True,True,True,0.9840043906375218,6.629964848507347e-07,2.03125
identity_different_04,identity,full_h12,full,12,NO,NO,True,True,True,True,0.9930820465555262,2.4816469930708684e-07,1.623046875
brightness_second_00,brightness,full_h12,full,12,SECOND,FIRST,False,False,True,True,0.9966409617838576,0.024019243643535942,1.0625
brightness_second_01,brightness,full_h12,full,12,SECOND,FIRST,False,False,True,True,0.9983549619285395,0.005519979445851395,1.0
brightness_second_02,brightness,full_h12,full,12,SECOND,SECOND,True,True,True,True,0.9972820541416633,0.01126026006894508,1.125
brightness_second_03,brightness,full_h12,full,12,SECOND,FIRST,False,False,True,True,0.9951384899869404,0.010740487029115231,1.109375
brightness_second_04,brightness,full_h12,full,12,SECOND,FIRST,False,False,True,True,0.9948853630339319,0.09095894215636065,2.0625
brightness_second_05,brightness,full_h12,full,12,SECOND,FIRST,False,False,True,True,0.9903072939566356,0.0005538394852036374,1.75
identity_same_00,identity,visual_h16,visual,16,YES,YES,True,True,True,True,0.9963692642248541,0.02603551745267004,1.75
identity_same_02,identity,visual_h16,visual,16,YES,YES,True,True,True,True,0.9979933392084361,0.03762480274091437,0.875
identity_same_04,identity,visual_h16,visual,16,YES,YES,True,True,True,True,0.9953382897591461,0.2075350683089161,1.5
identity_different_00,identity,visual_h16,visual,16,NO,NO,True,True,True,True,0.9959619499312232,7.711498255719242e-08,1.125
identity_different_02,identity,visual_h16,visual,16,NO,NO,True,True,True,True,0.9926387774164168,6.478847338997038e-07,1.5
identity_different_04,identity,visual_h16,visual,16,NO,NO,True,True,True,True,0.9965754130704443,1.414013234606828e-07,1.0625
brightness_second_00,brightness,visual_h16,visual,16,SECOND,FIRST,False,False,True,True,0.9958333753187786,0.03579505602277511,1.1875
brightness_second_01,brightness,visual_h16,visual,16,SECOND,FIRST,False,False,True,True,0.9989847770889679,0.01234630521489874,0.703125
brightness_second_02,brightness,visual_h16,visual,16,SECOND,SECOND,True,True,True,True,0.9984696585929697,0.006094941130317173,0.875
brightness_second_03,brightness,visual_h16,visual,16,SECOND,FIRST,False,False,True,True,0.9990323706077618,0.0003497926038668886,0.875
brightness_second_04,brightness,visual_h16,visual,16,SECOND,FIRST,False,False,True,True,0.9967577307532889,0.005660108758909852,1.125
brightness_second_05,brightness,visual_h16,visual,16,SECOND,FIRST,False,False,True,True,0.9974268689557438,0.0001345838951942388,1.21875
identity_same_00,identity,full_h16,full,16,YES,YES,True,True,True,True,0.9974466665906103,0.003968899175909041,1.3125
identity_same_02,identity,full_h16,full,16,YES,YES,True,True,True,True,0.9970030081984244,0.10132798207223949,0.9453125
identity_same_04,identity,full_h16,full,16,YES,YES,True,True,True,True,0.9970855349094623,0.20755628482415084,1.3125
identity_different_00,identity,full_h16,full,16,NO,NO,True,True,True,True,0.9962410367182339,5.393567624210476e-09,1.5
identity_different_02,identity,full_h16,full,16,NO,NO,True,True,True,True,0.9844025948221437,2.8182416129640136e-07,2.15625
identity_different_04,identity,full_h16,full,16,NO,NO,True,True,True,True,0.9908855897388961,1.0211520459871312e-06,2.0
brightness_second_00,brightness,full_h16,full,16,SECOND,FIRST,False,False,True,True,0.9954506648750335,0.014983071371536531,1.125
brightness_second_01,brightness,full_h16,full,16,SECOND,FIRST,False,False,True,True,0.9982075006799729,8.058691094801326e-05,0.9765625
brightness_second_02,brightness,full_h16,full,16,SECOND,SECOND,True,True,True,True,0.99627917997586,0.051507225305949325,1.25
brightness_second_03,brightness,full_h16,full,16,SECOND,FIRST,False,False,True,True,0.9950319150864335,9.185486845803364e-06,1.625
brightness_second_04,brightness,full_h16,full,16,SECOND,FIRST,False,False,True,True,0.9951145612395329,0.07629797450801365,2.0
brightness_second_05,brightness,full_h16,full,16,SECOND,FIRST,False,False,True,True,0.9854997506013541,0.0013208426463081247,2.0625
identity_same_00,identity,visual_h24,visual,24,YES,NO,True,False,False,False,0.9729004629739173,3.310920932265892,4.375
identity_same_02,identity,visual_h24,visual,24,YES,NO,True,False,False,False,0.9898582622658095,1.404581996296429,2.875
identity_same_04,identity,visual_h24,visual,24,YES,NO,True,False,False,False,0.9828837265554589,2.2270215985981663,3.5
identity_different_00,identity,visual_h24,visual,24,NO,NO,True,True,True,True,0.975139229330017,9.308805958048655e-07,3.1875
identity_different_02,identity,visual_h24,visual,24,NO,NO,True,True,True,True,0.9699314157049264,1.4821073349111072e-07,2.84375
identity_different_04,identity,visual_h24,visual,24,NO,NO,True,True,True,True,0.9818236366050344,1.160044821042448e-07,2.5
brightness_second_00,brightness,visual_h24,visual,24,SECOND,FIRST,False,False,True,True,0.992835764666345,0.16847950908740103,1.75
brightness_second_01,brightness,visual_h24,visual,24,SECOND,FIRST,False,False,True,True,0.9989370829486528,0.012375735667165502,0.875
brightness_second_02,brightness,visual_h24,visual,24,SECOND,SECOND,True,True,True,True,0.9989391660526779,0.018109876338428622,0.875
brightness_second_03,brightness,visual_h24,visual,24,SECOND,FIRST,False,False,True,True,0.9975542260275806,0.030950128425723242,1.1875
brightness_second_04,brightness,visual_h24,visual,24,SECOND,FIRST,False,False,True,True,0.9974529742046824,0.02700822955479242,1.25
brightness_second_05,brightness,visual_h24,visual,24,SECOND,FIRST,False,False,True,True,0.9963405285496801,0.00014304280067770956,1.34375
identity_same_00,identity,full_h24,full,24,YES,NO,True,False,False,False,0.9743458654050648,2.8377006517315606,4.125
identity_same_02,identity,full_h24,full,24,YES,NO,True,False,False,False,0.9858238393333263,1.759128499444036,3.25
identity_same_04,identity,full_h24,full,24,YES,NO,True,False,False,False,0.9856819004712836,2.3344419898292843,3.25
identity_different_00,identity,full_h24,full,24,NO,NO,True,True,True,True,0.9708929681486468,7.572030324487382e-07,3.34375
identity_different_02,identity,full_h24,full,24,NO,NO,True,True,True,True,0.9367980671005055,1.3960336690318433e-06,3.96875
identity_different_04,identity,full_h24,full,24,NO,NO,True,True,True,True,0.982884010717613,1.0939141838697223e-06,2.625
brightness_second_00,brightness,full_h24,full,24,SECOND,FIRST,False,False,True,True,0.991170041749963,0.024048070401842758,1.3662109375
brightness_second_01,brightness,full_h24,full,24,SECOND,FIRST,False,False,True,True,0.9965009758561263,0.04189688801799207,1.375
brightness_second_02,brightness,full_h24,full,24,SECOND,FIRST,True,False,False,False,0.992492617937174,0.5752132680694335,2.5
brightness_second_03,brightness,full_h24,full,24,SECOND,FIRST,False,False,True,True,0.9865345374500696,0.16993250619991662,2.375
brightness_second_04,brightness,full_h24,full,24,SECOND,SECOND,False,True,False,False,0.985940703200514,0.8524915941770996,3.25
brightness_second_05,brightness,full_h24,full,24,SECOND,FIRST,False,False,True,True,0.9809391261216841,0.0026854549242263438,2.4375
identity_same_00,identity,visual_h32,visual,32,YES,NO,True,False,False,False,0.9715979539719981,3.5508199052534284,4.375
identity_same_02,identity,visual_h32,visual,32,YES,NO,True,False,False,False,0.9900899945021798,1.3186514703881294,2.75
identity_same_04,identity,visual_h32,visual,32,YES,NO,True,False,False,False,0.9820083710592699,2.3346351581265883,3.625
identity_different_00,identity,visual_h32,visual,32,NO,NO,True,True,True,True,0.9659009574596119,1.256716411124054e-06,3.5625
identity_different_02,identity,visual_h32,visual,32,NO,NO,True,True,True,True,0.9689823976351448,2.3729547993513814e-07,3.1875
identity_different_04,identity,visual_h32,visual,32,NO,NO,True,True,True,True,0.9738663461028474,1.8631671892637365e-07,2.890625
brightness_second_00,brightness,visual_h32,visual,32,SECOND,FIRST,False,False,True,True,0.9913106540967316,0.13803878934314875,1.875
brightness_second_01,brightness,visual_h32,visual,32,SECOND,FIRST,False,False,True,True,0.9988131661755473,0.0123587767594655,1.0
brightness_second_02,brightness,visual_h32,visual,32,SECOND,SECOND,True,True,True,True,0.9981633143200538,0.13184558885083136,1.375
brightness_second_03,brightness,visual_h32,visual,32,SECOND,FIRST,False,False,True,True,0.99662777185122,0.052434692488861304,1.375
brightness_second_04,brightness,visual_h32,visual,32,SECOND,FIRST,False,False,True,True,0.9975869467380575,0.034077872798024905,1.4375
brightness_second_05,brightness,visual_h32,visual,32,SECOND,FIRST,False,False,True,True,0.9972327451231963,0.00017649381360939986,1.375
identity_same_00,identity,full_h32,full,32,YES,NO,True,False,False,False,0.9766582465093966,2.4908599281033292,4.0
identity_same_02,identity,full_h32,full,32,YES,NO,True,False,False,False,0.9839747932680638,2.407671878343731,4.0
identity_same_04,identity,full_h32,full,32,YES,NO,True,False,False,False,0.9844292698694763,2.6619949701816394,3.625
identity_different_00,identity,full_h32,full,32,NO,NO,True,True,True,True,0.9307577507560334,3.7364541296326697e-06,5.0
identity_different_02,identity,full_h32,full,32,NO,NO,True,True,True,True,0.881619514572066,3.022930540217355e-06,5.75
identity_different_04,identity,full_h32,full,32,NO,NO,True,True,True,True,0.9025809500722305,5.461035905940675e-06,5.375
brightness_second_00,brightness,full_h32,full,32,SECOND,FIRST,False,False,True,True,0.9876706162508052,0.003629942303993456,1.921875
brightness_second_01,brightness,full_h32,full,32,SECOND,FIRST,False,False,True,True,0.9935652480303145,0.2441700083105292,2.25
brightness_second_02,brightness,full_h32,full,32,SECOND,FIRST,True,False,False,False,0.9903503927527729,0.8580552327591785,2.8125
brightness_second_03,brightness,full_h32,full,32,SECOND,SECOND,False,True,False,False,0.9795590586622208,0.6231117512075341,3.25
brightness_second_04,brightness,full_h32,full,32,SECOND,SECOND,False,True,False,False,0.9773940539044815,3.102168233735245,4.8125
brightness_second_05,brightness,full_h32,full,32,SECOND,FIRST,False,False,True,True,0.9708480741361447,0.018466133760471577,3.53125
identity_same_01,identity,stock,stock,0,YES,NO,False,False,True,True,1.0,0.0,0.0
identity_same_03,identity,stock,stock,0,YES,YES,True,True,True,True,1.0,0.0,0.0
identity_same_05,identity,stock,stock,0,YES,YES,True,True,True,True,1.0,0.0,0.0
identity_different_01,identity,stock,stock,0,NO,NO,True,True,True,True,1.0000000000000002,0.0,0.0
identity_different_03,identity,stock,stock,0,NO,NO,True,True,True,True,1.0000000000000002,0.0,0.0
identity_different_05,identity,stock,stock,0,NO,NO,True,True,True,True,0.9999999999999998,0.0,0.0
brightness_first_00,brightness,stock,stock,0,FIRST,FIRST,True,True,True,True,1.0,0.0,0.0
brightness_first_01,brightness,stock,stock,0,FIRST,FIRST,True,True,True,True,1.0,0.0,0.0
brightness_first_02,brightness,stock,stock,0,FIRST,FIRST,True,True,True,True,1.0,0.0,0.0
brightness_first_03,brightness,stock,stock,0,FIRST,FIRST,True,True,True,True,1.0,0.0,0.0
brightness_first_04,brightness,stock,stock,0,FIRST,FIRST,True,True,True,True,1.0000000000000002,0.0,0.0
brightness_first_05,brightness,stock,stock,0,FIRST,FIRST,True,True,True,True,1.0000000000000002,0.0,0.0
identity_same_01,identity,visual_h0,visual,0,YES,NO,False,False,True,True,1.0,0.0,0.0
identity_same_03,identity,visual_h0,visual,0,YES,YES,True,True,True,True,1.0,0.0,0.0
identity_same_05,identity,visual_h0,visual,0,YES,YES,True,True,True,True,1.0,0.0,0.0
identity_different_01,identity,visual_h0,visual,0,NO,NO,True,True,True,True,1.0000000000000002,0.0,0.0
identity_different_03,identity,visual_h0,visual,0,NO,NO,True,True,True,True,1.0000000000000002,0.0,0.0
identity_different_05,identity,visual_h0,visual,0,NO,NO,True,True,True,True,0.9999999999999998,0.0,0.0
brightness_first_00,brightness,visual_h0,visual,0,FIRST,FIRST,True,True,True,True,1.0,0.0,0.0
brightness_first_01,brightness,visual_h0,visual,0,FIRST,FIRST,True,True,True,True,1.0,0.0,0.0
brightness_first_02,brightness,visual_h0,visual,0,FIRST,FIRST,True,True,True,True,1.0,0.0,0.0
brightness_first_03,brightness,visual_h0,visual,0,FIRST,FIRST,True,True,True,True,1.0,0.0,0.0
brightness_first_04,brightness,visual_h0,visual,0,FIRST,FIRST,True,True,True,True,1.0000000000000002,0.0,0.0
brightness_first_05,brightness,visual_h0,visual,0,FIRST,FIRST,True,True,True,True,1.0000000000000002,0.0,0.0
identity_same_01,identity,full_h0,full,0,YES,NO,False,False,True,True,1.0,0.0,0.0
identity_same_03,identity,full_h0,full,0,YES,YES,True,True,True,True,1.0,0.0,0.0
identity_same_05,identity,full_h0,full,0,YES,YES,True,True,True,True,1.0,0.0,0.0
identity_different_01,identity,full_h0,full,0,NO,NO,True,True,True,True,1.0000000000000002,0.0,0.0
identity_different_03,identity,full_h0,full,0,NO,NO,True,True,True,True,1.0000000000000002,0.0,0.0
identity_different_05,identity,full_h0,full,0,NO,NO,True,True,True,True,0.9999999999999998,0.0,0.0
brightness_first_00,brightness,full_h0,full,0,FIRST,FIRST,True,True,True,True,1.0,0.0,0.0
brightness_first_01,brightness,full_h0,full,0,FIRST,FIRST,True,True,True,True,1.0,0.0,0.0
brightness_first_02,brightness,full_h0,full,0,FIRST,FIRST,True,True,True,True,1.0,0.0,0.0
brightness_first_03,brightness,full_h0,full,0,FIRST,FIRST,True,True,True,True,1.0,0.0,0.0
brightness_first_04,brightness,full_h0,full,0,FIRST,FIRST,True,True,True,True,1.0000000000000002,0.0,0.0
brightness_first_05,brightness,full_h0,full,0,FIRST,FIRST,True,True,True,True,1.0000000000000002,0.0,0.0
identity_same_01,identity,visual_h4,visual,4,YES,NO,False,False,True,True,0.9997978194637913,0.0019531540011637886,0.2890625
identity_same_03,identity,visual_h4,visual,4,YES,YES,True,True,True,True,0.9996239333647309,0.005269531807148387,0.5
identity_same_05,identity,visual_h4,visual,4,YES,YES,True,True,True,True,0.9994114849336516,3.5701919989882576e-06,0.546875
identity_different_01,identity,visual_h4,visual,4,NO,NO,True,True,True,True,0.9983359057707349,8.592179967197076e-10,1.28125
identity_different_03,identity,visual_h4,visual,4,NO,NO,True,True,True,True,0.9982405530961361,1.3846148843894188e-07,0.90625
identity_different_05,identity,visual_h4,visual,4,NO,NO,True,True,True,True,0.9973222738072895,3.044810871741609e-07,1.125
brightness_first_00,brightness,visual_h4,visual,4,FIRST,FIRST,True,True,True,True,0.9986183062770386,8.794768558978785e-05,0.875
brightness_first_01,brightness,visual_h4,visual,4,FIRST,FIRST,True,True,True,True,0.999203726817946,2.5910834358249772e-05,0.625
brightness_first_02,brightness,visual_h4,visual,4,FIRST,FIRST,True,True,True,True,0.9992636931117447,2.634727140986687e-06,0.5
brightness_first_03,brightness,visual_h4,visual,4,FIRST,FIRST,True,True,True,True,0.9992180452132212,6.6374957225588816e-06,0.75
brightness_first_04,brightness,visual_h4,visual,4,FIRST,FIRST,True,True,True,True,0.9993879619252396,0.004776250134182546,0.75
brightness_first_05,brightness,visual_h4,visual,4,FIRST,FIRST,True,True,True,True,0.9988120695167974,0.0018848025675673452,0.96875
identity_same_01,identity,full_h4,full,4,YES,NO,False,False,True,True,0.9988301080393954,0.017276477575831825,0.640625
identity_same_03,identity,full_h4,full,4,YES,YES,True,True,True,True,0.9993043146628342,0.012887388058249447,0.75
identity_same_05,identity,full_h4,full,4,YES,YES,True,True,True,True,0.9988096674931476,0.0019077749889199807,0.71875
identity_different_01,identity,full_h4,full,4,NO,NO,True,True,True,True,0.9948980409377589,2.133370672756601e-08,1.71875
identity_different_03,identity,full_h4,full,4,NO,NO,True,True,True,True,0.9935094146502005,1.782129102383809e-06,2.0
identity_different_05,identity,full_h4,full,4,NO,NO,True,True,True,True,0.9947758912553193,1.1009762187055908e-06,1.75
brightness_first_00,brightness,full_h4,full,4,FIRST,FIRST,True,True,True,True,0.9975392396487937,2.5523230815509995e-05,1.25
brightness_first_01,brightness,full_h4,full,4,FIRST,FIRST,True,True,True,True,0.9990717009722897,0.00030811301821378947,0.53125
brightness_first_02,brightness,full_h4,full,4,FIRST,FIRST,True,True,True,True,0.9984484491981472,4.701851802451224e-06,0.875
brightness_first_03,brightness,full_h4,full,4,FIRST,FIRST,True,True,True,True,0.9985235970917705,0.0008728079597655957,0.875
brightness_first_04,brightness,full_h4,full,4,FIRST,FIRST,True,True,True,True,0.9961143658498568,0.00961810236883983,1.0
brightness_first_05,brightness,full_h4,full,4,FIRST,FIRST,True,True,True,True,0.9985797843430315,0.0007151504715418771,1.25
identity_same_01,identity,visual_h8,visual,8,YES,NO,False,False,True,True,0.9994431261241216,0.030496968199306272,0.46875
