scope,key,modality,rank,assignment_count,expert
layer,0,vision,,1573,51.0
layer,0,vision,,959,52.0
layer,0,vision,,769,53.0
layer,0,vision,,1524,54.0
layer,0,vision,,688,55.0
layer,0,vision,,976,56.0
layer,0,vision,,969,57.0
layer,0,vision,,1281,58.0
layer,0,vision,,667,59.0
layer,0,vision,,602,60.0
layer,0,vision,,803,61.0
layer,0,vision,,606,62.0
layer,0,vision,,1110,63.0
layer,0,vision,,738,64.0
layer,0,vision,,742,65.0
layer,0,vision,,1016,66.0
layer,0,vision,,866,67.0
layer,0,vision,,586,68.0
layer,0,vision,,1155,69.0
layer,0,vision,,999,70.0
layer,0,vision,,1260,71.0
layer,0,vision,,724,72.0
layer,0,vision,,684,73.0
layer,0,vision,,1331,74.0
layer,0,vision,,941,75.0
layer,0,vision,,577,76.0
layer,0,vision,,512,77.0
layer,0,vision,,2170,78.0
layer,0,vision,,893,79.0
layer,0,vision,,1071,80.0
layer,0,vision,,990,81.0
layer,0,vision,,902,82.0
layer,0,vision,,770,83.0
layer,0,vision,,354,84.0
layer,0,vision,,550,85.0
layer,0,vision,,571,86.0
layer,0,vision,,702,87.0
layer,0,vision,,471,88.0
layer,0,vision,,834,89.0
layer,0,vision,,688,90.0
layer,0,vision,,666,91.0
layer,0,vision,,759,92.0
layer,0,vision,,705,93.0
layer,0,vision,,1038,94.0
layer,0,vision,,1579,95.0
layer,0,vision,,1222,96.0
layer,0,vision,,1255,97.0
layer,0,vision,,655,98.0
layer,0,vision,,732,99.0
layer,0,vision,,937,100.0
layer,0,vision,,894,101.0
layer,0,vision,,821,102.0
layer,0,vision,,623,103.0
layer,0,vision,,1627,104.0
layer,0,vision,,955,105.0
layer,0,vision,,768,106.0
layer,0,vision,,1010,107.0
layer,0,vision,,1034,108.0
layer,0,vision,,1119,109.0
layer,0,vision,,439,110.0
layer,0,vision,,676,111.0
layer,0,vision,,1452,112.0
layer,0,vision,,1798,113.0
layer,0,vision,,1357,114.0
layer,0,vision,,1789,115.0
layer,0,vision,,1374,116.0
layer,0,vision,,835,117.0
layer,0,vision,,585,118.0
layer,0,vision,,178,119.0
layer,0,vision,,1180,120.0
layer,0,vision,,945,121.0
layer,0,vision,,791,122.0
layer,0,vision,,1272,123.0
layer,0,vision,,985,124.0
layer,0,vision,,907,125.0
layer,0,vision,,838,126.0
layer,0,vision,,1297,127.0
layer,1,vision,0.0,25997,
layer,1,vision,1.0,35922,
layer,1,vision,2.0,30337,
layer,1,vision,3.0,35176,
layer,1,vision,,421,0.0
layer,1,vision,,929,1.0
layer,1,vision,,1076,2.0
layer,1,vision,,1143,3.0
layer,1,vision,,590,4.0
layer,1,vision,,1269,5.0
layer,1,vision,,620,6.0
layer,1,vision,,483,7.0
layer,1,vision,,1453,8.0
layer,1,vision,,989,9.0
layer,1,vision,,762,10.0
layer,1,vision,,1118,11.0
layer,1,vision,,852,12.0
layer,1,vision,,682,13.0
layer,1,vision,,972,14.0
layer,1,vision,,241,15.0
layer,1,vision,,506,16.0
layer,1,vision,,814,17.0
layer,1,vision,,503,18.0
layer,1,vision,,993,19.0
layer,1,vision,,1058,20.0
layer,1,vision,,1141,21.0
layer,1,vision,,256,22.0
layer,1,vision,,458,23.0
layer,1,vision,,1383,24.0
layer,1,vision,,706,25.0
layer,1,vision,,632,26.0
layer,1,vision,,776,27.0
layer,1,vision,,850,28.0
layer,1,vision,,862,29.0
layer,1,vision,,273,30.0
layer,1,vision,,1186,31.0
layer,1,vision,,2603,32.0
layer,1,vision,,1457,33.0
layer,1,vision,,1058,34.0
layer,1,vision,,1780,35.0
layer,1,vision,,1422,36.0
layer,1,vision,,1712,37.0
layer,1,vision,,493,38.0
layer,1,vision,,1180,39.0
layer,1,vision,,1765,40.0
layer,1,vision,,561,41.0
layer,1,vision,,579,42.0
layer,1,vision,,1293,43.0
layer,1,vision,,1322,44.0
layer,1,vision,,1006,45.0
layer,1,vision,,721,46.0
layer,1,vision,,2048,47.0
layer,1,vision,,908,48.0
layer,1,vision,,310,49.0
layer,1,vision,,701,50.0
layer,1,vision,,733,51.0
layer,1,vision,,373,52.0
layer,1,vision,,1006,53.0
layer,1,vision,,1481,54.0
layer,1,vision,,442,55.0
layer,1,vision,,1787,56.0
layer,1,vision,,1694,57.0
layer,1,vision,,611,58.0
layer,1,vision,,1790,59.0
layer,1,vision,,699,60.0
layer,1,vision,,1367,61.0
layer,1,vision,,677,62.0
layer,1,vision,,343,63.0
layer,1,vision,,932,64.0
layer,1,vision,,790,65.0
layer,1,vision,,1216,66.0
layer,1,vision,,552,67.0
layer,1,vision,,513,68.0
layer,1,vision,,1248,69.0
layer,1,vision,,354,70.0
layer,1,vision,,1181,71.0
layer,1,vision,,1266,72.0
layer,1,vision,,838,73.0
layer,1,vision,,1049,74.0
layer,1,vision,,308,75.0
layer,1,vision,,1206,76.0
layer,1,vision,,922,77.0
layer,1,vision,,718,78.0
layer,1,vision,,595,79.0
layer,1,vision,,719,80.0
layer,1,vision,,1605,81.0
layer,1,vision,,881,82.0
layer,1,vision,,811,83.0
layer,1,vision,,817,84.0
layer,1,vision,,1958,85.0
layer,1,vision,,773,86.0
layer,1,vision,,1076,87.0
layer,1,vision,,1567,88.0
layer,1,vision,,1001,89.0
layer,1,vision,,421,90.0
layer,1,vision,,1445,91.0
layer,1,vision,,703,92.0
layer,1,vision,,1288,93.0
layer,1,vision,,394,94.0
layer,1,vision,,1190,95.0
layer,1,vision,,1102,96.0
layer,1,vision,,1266,97.0
layer,1,vision,,780,98.0
layer,1,vision,,365,99.0
layer,1,vision,,2389,100.0
layer,1,vision,,1709,101.0
layer,1,vision,,1622,102.0
layer,1,vision,,782,103.0
layer,1,vision,,1946,104.0
layer,1,vision,,1465,105.0
layer,1,vision,,341,106.0
layer,1,vision,,683,107.0
layer,1,vision,,1711,108.0
layer,1,vision,,933,109.0
layer,1,vision,,1913,110.0
layer,1,vision,,650,111.0
layer,1,vision,,1550,112.0
layer,1,vision,,1064,113.0
layer,1,vision,,856,114.0
layer,1,vision,,597,115.0
layer,1,vision,,1074,116.0
layer,1,vision,,880,117.0
layer,1,vision,,1271,118.0
layer,1,vision,,904,119.0
layer,1,vision,,1055,120.0
layer,1,vision,,867,121.0
layer,1,vision,,252,122.0
layer,1,vision,,696,123.0
layer,1,vision,,1615,124.0
layer,1,vision,,1207,125.0
layer,1,vision,,856,126.0
layer,1,vision,,775,127.0
layer,2,vision,0.0,36268,
layer,2,vision,1.0,30433,
layer,2,vision,2.0,30239,
layer,2,vision,3.0,30492,
layer,2,vision,,333,0.0
layer,2,vision,,1757,1.0
layer,2,vision,,1302,2.0
layer,2,vision,,1347,3.0
layer,2,vision,,329,4.0
layer,2,vision,,2586,5.0
layer,2,vision,,964,6.0
layer,2,vision,,715,7.0
layer,2,vision,,515,8.0
layer,2,vision,,273,9.0
layer,2,vision,,719,10.0
layer,2,vision,,1551,11.0
layer,2,vision,,937,12.0
layer,2,vision,,482,13.0
layer,2,vision,,518,14.0
layer,2,vision,,1022,15.0
layer,2,vision,,1819,16.0
layer,2,vision,,822,17.0
layer,2,vision,,1474,18.0
layer,2,vision,,159,19.0
layer,2,vision,,1054,20.0
layer,2,vision,,2031,21.0
layer,2,vision,,856,22.0
layer,2,vision,,3014,23.0
layer,2,vision,,1232,24.0
layer,2,vision,,735,25.0
layer,2,vision,,1300,26.0
layer,2,vision,,847,27.0
layer,2,vision,,1042,28.0
layer,2,vision,,723,29.0
layer,2,vision,,1847,30.0
layer,2,vision,,1963,31.0
layer,2,vision,,905,32.0
layer,2,vision,,242,33.0
layer,2,vision,,2154,34.0
layer,2,vision,,2128,35.0
layer,2,vision,,1177,36.0
layer,2,vision,,2269,37.0
layer,2,vision,,574,38.0
layer,2,vision,,666,39.0
layer,2,vision,,852,40.0
layer,2,vision,,998,41.0
layer,2,vision,,1046,42.0
layer,2,vision,,304,43.0
layer,2,vision,,2375,44.0
layer,2,vision,,392,45.0
layer,2,vision,,744,46.0
layer,2,vision,,857,47.0
layer,2,vision,,833,48.0
layer,2,vision,,505,49.0
layer,2,vision,,516,50.0
layer,2,vision,,369,51.0
layer,2,vision,,607,52.0
layer,2,vision,,1459,53.0
layer,2,vision,,557,54.0
layer,2,vision,,696,55.0
layer,2,vision,,1000,56.0
layer,2,vision,,1229,57.0
layer,2,vision,,544,58.0
layer,2,vision,,1162,59.0
layer,2,vision,,815,60.0
layer,2,vision,,657,61.0
layer,2,vision,,545,62.0
layer,2,vision,,1256,63.0
layer,2,vision,,678,64.0
layer,2,vision,,685,65.0
layer,2,vision,,1964,66.0
layer,2,vision,,976,67.0
layer,2,vision,,633,68.0
layer,2,vision,,1331,69.0
layer,2,vision,,1228,70.0
layer,2,vision,,1628,71.0
layer,2,vision,,235,72.0
layer,2,vision,,568,73.0
layer,2,vision,,1488,74.0
layer,2,vision,,1641,75.0
layer,2,vision,,395,76.0
layer,2,vision,,544,77.0
layer,2,vision,,557,78.0
layer,2,vision,,2096,79.0
layer,2,vision,,1973,80.0
layer,2,vision,,864,81.0
layer,2,vision,,666,82.0
layer,2,vision,,256,83.0
layer,2,vision,,461,84.0
layer,2,vision,,692,85.0
layer,2,vision,,943,86.0
layer,2,vision,,715,87.0
layer,2,vision,,504,88.0
layer,2,vision,,544,89.0
layer,2,vision,,370,90.0
layer,2,vision,,1193,91.0
layer,2,vision,,1157,92.0
layer,2,vision,,1426,93.0
layer,2,vision,,489,94.0
layer,2,vision,,1339,95.0
layer,2,vision,,2380,96.0
layer,2,vision,,593,97.0
layer,2,vision,,1307,98.0
layer,2,vision,,1507,99.0
layer,2,vision,,614,100.0
layer,2,vision,,299,101.0
layer,2,vision,,2003,102.0
layer,2,vision,,1194,103.0
layer,2,vision,,493,104.0
layer,2,vision,,62,105.0
layer,2,vision,,202,106.0
layer,2,vision,,1470,107.0
layer,2,vision,,958,108.0
layer,2,vision,,269,109.0
layer,2,vision,,2075,110.0
layer,2,vision,,2207,111.0
layer,2,vision,,494,112.0
layer,2,vision,,620,113.0
layer,2,vision,,1272,114.0
layer,2,vision,,681,115.0
layer,2,vision,,950,116.0
layer,2,vision,,431,117.0
layer,2,vision,,625,118.0
layer,2,vision,,475,119.0
layer,2,vision,,946,120.0
layer,2,vision,,1039,121.0
layer,2,vision,,330,122.0
layer,2,vision,,633,123.0
layer,2,vision,,813,124.0
layer,2,vision,,485,125.0
layer,2,vision,,1622,126.0
layer,2,vision,,1443,127.0
layer,3,vision,0.0,25652,
layer,3,vision,1.0,36134,
layer,3,vision,2.0,32517,
layer,3,vision,3.0,33129,
layer,3,vision,,233,0.0
layer,3,vision,,436,1.0
layer,3,vision,,1072,2.0
layer,3,vision,,1122,3.0
layer,3,vision,,432,4.0
layer,3,vision,,897,5.0
layer,3,vision,,263,6.0
layer,3,vision,,289,7.0
layer,3,vision,,2425,8.0
layer,3,vision,,889,9.0
layer,3,vision,,282,10.0
layer,3,vision,,1536,11.0
layer,3,vision,,1503,12.0
layer,3,vision,,665,13.0
layer,3,vision,,220,14.0
layer,3,vision,,689,15.0
layer,3,vision,,582,16.0
layer,3,vision,,1327,17.0
layer,3,vision,,1693,18.0
layer,3,vision,,434,19.0
layer,3,vision,,580,20.0
layer,3,vision,,695,21.0
layer,3,vision,,659,22.0
layer,3,vision,,563,23.0
layer,3,vision,,568,24.0
layer,3,vision,,591,25.0
layer,3,vision,,402,26.0
layer,3,vision,,1484,27.0
layer,3,vision,,1487,28.0
layer,3,vision,,658,29.0
layer,3,vision,,499,30.0
layer,3,vision,,477,31.0
layer,3,vision,,1121,32.0
layer,3,vision,,455,33.0
layer,3,vision,,829,34.0
layer,3,vision,,2154,35.0
layer,3,vision,,1657,36.0
layer,3,vision,,1021,37.0
layer,3,vision,,546,38.0
layer,3,vision,,364,39.0
layer,3,vision,,526,40.0
layer,3,vision,,470,41.0
layer,3,vision,,1378,42.0
layer,3,vision,,2983,43.0
layer,3,vision,,4578,44.0
layer,3,vision,,789,45.0
layer,3,vision,,583,46.0
layer,3,vision,,742,47.0
layer,3,vision,,1571,48.0
layer,3,vision,,3278,49.0
layer,3,vision,,472,50.0
layer,3,vision,,1018,51.0
layer,3,vision,,135,52.0
layer,3,vision,,247,53.0
layer,3,vision,,163,54.0
layer,3,vision,,296,55.0
layer,3,vision,,986,56.0
layer,3,vision,,1459,57.0
layer,3,vision,,1512,58.0
layer,3,vision,,1440,59.0
layer,3,vision,,381,60.0
layer,3,vision,,426,61.0
layer,3,vision,,574,62.0
layer,3,vision,,1980,63.0
layer,3,vision,,229,64.0
layer,3,vision,,2892,65.0
layer,3,vision,,727,66.0
layer,3,vision,,836,67.0
layer,3,vision,,248,68.0
layer,3,vision,,980,69.0
layer,3,vision,,586,70.0
layer,3,vision,,613,71.0
layer,3,vision,,968,72.0
layer,3,vision,,358,73.0
layer,3,vision,,667,74.0
layer,3,vision,,278,75.0
layer,3,vision,,615,76.0
layer,3,vision,,721,77.0
layer,3,vision,,976,78.0
layer,3,vision,,1439,79.0
layer,3,vision,,869,80.0
layer,3,vision,,990,81.0
layer,3,vision,,636,82.0
layer,3,vision,,30,83.0
layer,3,vision,,1854,84.0
layer,3,vision,,1356,85.0
layer,3,vision,,760,86.0
layer,3,vision,,816,87.0
layer,3,vision,,2214,88.0
layer,3,vision,,493,89.0
layer,3,vision,,1705,90.0
layer,3,vision,,663,91.0
layer,3,vision,,1232,92.0
layer,3,vision,,947,93.0
layer,3,vision,,1027,94.0
layer,3,vision,,3792,95.0
layer,3,vision,,90,96.0
layer,3,vision,,913,97.0
layer,3,vision,,264,98.0
layer,3,vision,,1318,99.0
layer,3,vision,,1281,100.0
layer,3,vision,,726,101.0
layer,3,vision,,3097,102.0
layer,3,vision,,1281,103.0
layer,3,vision,,874,104.0
layer,3,vision,,951,105.0
layer,3,vision,,650,106.0
layer,3,vision,,1005,107.0
layer,3,vision,,942,108.0
layer,3,vision,,1230,109.0
layer,3,vision,,1037,110.0
layer,3,vision,,1182,111.0
layer,3,vision,,602,112.0
layer,3,vision,,1074,113.0
layer,3,vision,,686,114.0
layer,3,vision,,942,115.0
layer,3,vision,,704,116.0
layer,3,vision,,757,117.0
layer,3,vision,,490,118.0
layer,3,vision,,792,119.0
layer,3,vision,,884,120.0
layer,3,vision,,745,121.0
layer,3,vision,,2416,122.0
layer,3,vision,,715,123.0
layer,3,vision,,1128,124.0
layer,3,vision,,470,125.0
layer,3,vision,,1319,126.0
layer,3,vision,,2564,127.0
layer,4,vision,0.0,33515,
layer,4,vision,1.0,35380,
layer,4,vision,2.0,30552,
layer,4,vision,3.0,27985,
layer,4,vision,,459,0.0
layer,4,vision,,736,1.0
layer,4,vision,,1780,2.0
layer,4,vision,,2072,3.0
layer,4,vision,,452,4.0
layer,4,vision,,511,5.0
layer,4,vision,,656,6.0
layer,4,vision,,650,7.0
layer,4,vision,,118,8.0
layer,4,vision,,319,9.0
layer,4,vision,,511,10.0
layer,4,vision,,669,11.0
layer,4,vision,,1318,12.0
layer,4,vision,,2628,13.0
layer,4,vision,,2335,14.0
layer,4,vision,,912,15.0
layer,4,vision,,506,16.0
layer,4,vision,,586,17.0
layer,4,vision,,1279,18.0
layer,4,vision,,343,19.0
layer,4,vision,,446,20.0
layer,4,vision,,4694,21.0
layer,4,vision,,545,22.0
layer,4,vision,,787,23.0
layer,4,vision,,1301,24.0
layer,4,vision,,373,25.0
layer,4,vision,,452,26.0
layer,4,vision,,457,27.0
layer,4,vision,,1334,28.0
layer,4,vision,,1150,29.0
layer,4,vision,,970,30.0
layer,4,vision,,2166,31.0
layer,4,vision,,1252,32.0
layer,4,vision,,2009,33.0
layer,4,vision,,1909,34.0
layer,4,vision,,1570,35.0
layer,4,vision,,5356,36.0
layer,4,vision,,2040,37.0
layer,4,vision,,2031,38.0
layer,4,vision,,371,39.0
layer,4,vision,,283,40.0
layer,4,vision,,44,41.0
layer,4,vision,,158,42.0
layer,4,vision,,1045,43.0
layer,4,vision,,539,44.0
layer,4,vision,,634,45.0
layer,4,vision,,404,46.0
layer,4,vision,,505,47.0
layer,4,vision,,1143,48.0
layer,4,vision,,3306,49.0
layer,4,vision,,696,50.0
layer,4,vision,,449,51.0
layer,4,vision,,444,52.0
layer,4,vision,,303,53.0
layer,4,vision,,1868,54.0
layer,4,vision,,158,55.0
layer,4,vision,,384,56.0
layer,4,vision,,757,57.0
layer,4,vision,,237,58.0
layer,4,vision,,1138,59.0
layer,4,vision,,532,60.0
layer,4,vision,,233,61.0
layer,4,vision,,2352,62.0
layer,4,vision,,1230,63.0
layer,4,vision,,415,64.0
layer,4,vision,,1073,65.0
layer,4,vision,,1617,66.0
layer,4,vision,,259,67.0
layer,4,vision,,143,68.0
layer,4,vision,,827,69.0
layer,4,vision,,329,70.0
layer,4,vision,,2398,71.0
layer,4,vision,,4114,72.0
layer,4,vision,,559,73.0
layer,4,vision,,285,74.0
layer,4,vision,,562,75.0
layer,4,vision,,345,76.0
layer,4,vision,,516,77.0
layer,4,vision,,2106,78.0
layer,4,vision,,556,79.0
layer,4,vision,,708,80.0
layer,4,vision,,991,81.0
layer,4,vision,,1274,82.0
layer,4,vision,,629,83.0
layer,4,vision,,2449,84.0
layer,4,vision,,677,85.0
layer,4,vision,,110,86.0
layer,4,vision,,397,87.0
layer,4,vision,,1274,88.0
layer,4,vision,,258,89.0
layer,4,vision,,575,90.0
layer,4,vision,,220,91.0
layer,4,vision,,1850,92.0
layer,4,vision,,817,93.0
layer,4,vision,,1414,94.0
layer,4,vision,,805,95.0
layer,4,vision,,435,96.0
layer,4,vision,,716,97.0
layer,4,vision,,421,98.0
layer,4,vision,,1504,99.0
layer,4,vision,,938,100.0
layer,4,vision,,774,101.0
layer,4,vision,,467,102.0
layer,4,vision,,1253,103.0
layer,4,vision,,1023,104.0
layer,4,vision,,554,105.0
layer,4,vision,,262,106.0
layer,4,vision,,274,107.0
layer,4,vision,,630,108.0
layer,4,vision,,1493,109.0
layer,4,vision,,378,110.0
layer,4,vision,,472,111.0
layer,4,vision,,116,112.0
layer,4,vision,,1611,113.0
layer,4,vision,,343,114.0
layer,4,vision,,1019,115.0
layer,4,vision,,416,116.0
layer,4,vision,,971,117.0
layer,4,vision,,450,118.0
layer,4,vision,,471,119.0
layer,4,vision,,69,120.0
layer,4,vision,,769,121.0
layer,4,vision,,498,122.0
layer,4,vision,,2309,123.0
layer,4,vision,,1808,124.0
layer,4,vision,,1932,125.0
layer,4,vision,,1225,126.0
layer,4,vision,,2384,127.0
layer,5,vision,0.0,36983,
layer,5,vision,1.0,30184,
layer,5,vision,2.0,26679,
layer,5,vision,3.0,33586,
layer,5,vision,,519,0.0
layer,5,vision,,842,1.0
layer,5,vision,,575,2.0
layer,5,vision,,271,3.0
layer,5,vision,,374,4.0
layer,5,vision,,344,5.0
layer,5,vision,,2621,6.0
layer,5,vision,,493,7.0
layer,5,vision,,879,8.0
layer,5,vision,,1366,9.0
layer,5,vision,,1435,10.0
layer,5,vision,,174,11.0
layer,5,vision,,3238,12.0
layer,5,vision,,559,13.0
layer,5,vision,,3110,14.0
layer,5,vision,,1475,15.0
layer,5,vision,,484,16.0
layer,5,vision,,585,17.0
layer,5,vision,,319,18.0
layer,5,vision,,1112,19.0
layer,5,vision,,713,20.0
layer,5,vision,,353,21.0
layer,5,vision,,654,22.0
layer,5,vision,,832,23.0
layer,5,vision,,849,24.0
layer,5,vision,,2609,25.0
layer,5,vision,,1168,26.0
layer,5,vision,,3234,27.0
layer,5,vision,,1251,28.0
layer,5,vision,,3092,29.0
layer,5,vision,,854,30.0
layer,5,vision,,599,31.0
layer,5,vision,,688,32.0
layer,5,vision,,1715,33.0
layer,5,vision,,680,34.0
layer,5,vision,,2592,35.0
layer,5,vision,,847,36.0
layer,5,vision,,393,37.0
layer,5,vision,,287,38.0
layer,5,vision,,477,39.0
layer,5,vision,,1677,40.0
layer,5,vision,,612,41.0
layer,5,vision,,1639,42.0
layer,5,vision,,1211,43.0
layer,5,vision,,2957,44.0
layer,5,vision,,736,45.0
layer,5,vision,,1403,46.0
layer,5,vision,,285,47.0
layer,5,vision,,718,48.0
layer,5,vision,,358,49.0
layer,5,vision,,1332,50.0
layer,5,vision,,1552,51.0
layer,5,vision,,542,52.0
layer,5,vision,,635,53.0
layer,5,vision,,851,54.0
layer,5,vision,,178,55.0
layer,5,vision,,1120,56.0
layer,5,vision,,2327,57.0
layer,5,vision,,253,58.0
layer,5,vision,,632,59.0
layer,5,vision,,315,60.0
layer,5,vision,,444,61.0
layer,5,vision,,234,62.0
layer,5,vision,,494,63.0
layer,5,vision,,380,64.0
layer,5,vision,,1116,65.0
layer,5,vision,,805,66.0
layer,5,vision,,368,67.0
layer,5,vision,,921,68.0
layer,5,vision,,1158,69.0
layer,5,vision,,1876,70.0
layer,5,vision,,832,71.0
layer,5,vision,,371,72.0
layer,5,vision,,496,73.0
layer,5,vision,,637,74.0
layer,5,vision,,1300,75.0
layer,5,vision,,2021,76.0
layer,5,vision,,936,77.0
layer,5,vision,,666,78.0
layer,5,vision,,816,79.0
layer,5,vision,,773,80.0
layer,5,vision,,281,81.0
layer,5,vision,,591,82.0
layer,5,vision,,186,83.0
layer,5,vision,,932,84.0
layer,5,vision,,2352,85.0
layer,5,vision,,1353,86.0
layer,5,vision,,593,87.0
layer,5,vision,,753,88.0
layer,5,vision,,178,89.0
layer,5,vision,,922,90.0
layer,5,vision,,297,91.0
layer,5,vision,,1570,92.0
layer,5,vision,,375,93.0
layer,5,vision,,303,94.0
layer,5,vision,,521,95.0
layer,5,vision,,425,96.0
layer,5,vision,,1880,97.0
layer,5,vision,,1919,98.0
layer,5,vision,,664,99.0
layer,5,vision,,886,100.0
layer,5,vision,,952,101.0
layer,5,vision,,786,102.0
layer,5,vision,,618,103.0
layer,5,vision,,1884,104.0
layer,5,vision,,381,105.0
layer,5,vision,,605,106.0
layer,5,vision,,852,107.0
layer,5,vision,,391,108.0
layer,5,vision,,848,109.0
layer,5,vision,,296,110.0
layer,5,vision,,376,111.0
layer,5,vision,,658,112.0
